location_ID,plot_ID,x.m,y.m,burn_severity,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes,S.mm_hr0.5,kfs.mm_hr,hf.m,a1,a2,c1,c2,bulk_density.gcm3,soil_texture_class,sand.percent,silt.percent,clay.percent,total_organic_carbon.percent,total_nitrogen.percent,notes_soil
1_5_2,1,5,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.8,,,,R,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_3,1,5,3,high,3,3,3,3,3,3,3,3,3,59,60,60,FALSE,FALSE,0,0.6,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_4,1,5,4,high,3,3,3,37,110,133,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_5,1,5,5,high,3,3,3,3,3,3,3,3,3,5,5,5,FALSE,FALSE,0,2.4,L,,,B,no live,,NA,83.51612656210936,154.34001143118599,0.06549574231312573,1.0704469723902212,3.8879818939846293,0.14899930804028083,0.016668643610050896,NA,NA,NA,NA,NA,NA,NA,NA
1_5_6,1,5,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_7,1,5,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_8,1,5,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.3,3.3,F,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_9,1,5,9,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_10,1,5,10,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_0,1,6,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_1,1,6,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,0.5,,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_2,1,6,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,1.4,F,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_3,1,6,3,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,WD,F,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_4,1,6,4,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.4,0.8,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_5,1,6,5,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,3.4,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_6,1,6,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.3,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_7,1,6,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.8,G,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_8,1,6,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.1,NA,F,,,L,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_9,1,6,9,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_6_10,1,6,10,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_0,1,7,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_1,1,7,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_2,1,7,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_3,1,7,3,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,WD,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_4,1,7,4,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,SD,,,SD,no live,,dead tree unable to sample soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_5,1,7,5,high,3,3,3,3,3,3,3,3,3,5,10,10,FALSE,FALSE,0,1,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_6,1,7,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_7,1,7,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,L,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_8,1,7,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,WD,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_9,1,7,9,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,0.4,F,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_7_10,1,7,10,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,G,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
