location_ID,plot_ID,burn_severity,x.m,y.m,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes
2_2_2,2,high,2,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.7,,,,B,no live,,NA
2_2_3,2,high,2,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_2_4,2,high,2,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,WD,no live,,too rocky for soil moisture
2_2_5,2,high,2,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.7,1.5,F,,,L,no live,,NA
2_2_6,2,high,2,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_2_7,2,high,2,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,F,,,R,no live,,NA
2_2_8,2,high,2,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA
2_2_9,2,high,2,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,,,,B,no live,,NA
2_2_10,2,high,2,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,,,,B,no live,,NA
2_3_0,2,high,3,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_3_1,2,high,3,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1,NA,,,,L,no live,,too rocky for soil moisture
2_3_2,2,high,3,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,L,,,B,no live,,too rocky for soil moisture
2_3_3,2,high,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
2_3_4,2,high,3,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.9,NA,,,,L,no live,,too rocky for soil moisture
2_3_5,2,high,3,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.6,F,,,B,no live,,NA
2_3_6,2,high,3,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.6,F,,,B,no live,,NA
2_3_7,2,high,3,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.6,,,,B,no live,,NA
2_3_8,2,high,3,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.7,1.5,F,,,L,no live,,NA
2_3_9,2,high,3,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_3_10,2,high,3,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.7,F,,,R,no live,,NA
2_4_0,2,high,4,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.7,F,,,B,no live,,NA
2_4_1,2,high,4,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,R,no live,,too rocky for soil moisture
2_4_2,2,high,4,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_4_3,2,high,4,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_4_4,2,high,4,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,2.1,0.6,F,,,L,no live,,NA
2_4_5,2,high,4,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,L,,B,no live,,too rocky for soil moisture
2_4_6,2,high,4,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_4_7,2,high,4,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_4_8,2,high,4,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.3,,,,R,no live,,NA
2_4_9,2,high,4,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.4,,,,R,no live,,NA
2_4_10,2,high,4,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.6,NA,F,,,L,no live,,too rocky for soil moisture
2_5_0,2,high,5,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_5_1,2,high,5,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1,NA,,,,L,no live,,too rocky for soil moisture
2_5_2,2,high,5,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_5_3,2,high,5,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_5_4,2,high,5,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,F,no live,,too rocky for soil moisture
2_5_5,2,high,5,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.1,NA,F,,,L,no live,,too rocky for soil moisture
2_5_6,2,high,5,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.2,,,,B,no live,,NA
2_5_7,2,high,5,7,180,3,3,300,300,300,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_5_8,2,high,5,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,L,,,B,no live,,too rocky for soil moisture
2_5_9,2,high,5,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.9,F,,,B,no live,,NA
